fr,en
vu qu'il ne peux pas passer le gardien,since he cannot pass the guard
je ne crois pas que le prince fou est parler a son soit futur,i do not think the crazy prince is talking to his future
en sois je sais que linteraction en sunny maitre et sunny superieur apporterait rien mais je me dis voire sunny du future parlais avec le prince fou sa pourrait etre giga interessant,be in it i know that the interaction in sunny master and sunny superior would bring nothing but i think even sunny of the future was talking with the crazy prince his might be giga interesting
si le soit du futur existe dans le cauchemard c'est par qu'il est temporellement existant dans le tombeau avant que sunny et nephis arrivent dans celui ci,if the future exists in the nightmare it is because it is temporally existing in the tomb before sunny and nephis arrive in it
car toute les actions du sunny du passer se son passer dans la graine et non dans le tombeau,because all the actions of the sunny of passing pass her in the seed and not in the tomb
normalement non,normally not
alors que on sait que un cauchemar deja commence cest impossible de rentrer de dedans donc sois le tombeau baise cette regle sois tout les cauchemars se passant dedans son relier de pres ou de loin permettant a certaine personne de laisser une trace,while we know that a nightmare already starts it is impossible to get in from inside so be the tomb fucks this rule be all the nightmares happening in its connection from near or far allowing some person to leave a trace
ensuite petite question le sunny du future on le voit dans le tombeau car lui a laisse une trace dedans mais es ce que quand notre sunny ira dedans on reverra sa version du passer car meme si on la vu dans un cauchemar le tombeau est tellement bizzare que cest possible surtout que larme de daeron est dedans bien quelle soit rentre dans un cauchemar,then little question the sunny of the future we see it in the tomb because left a trace in it but es that when our sunny will go in it we will see its version of the pass because even if we see it in a nightmare the tomb is so bizzar that it is possible especially that daeron's tear is in it well whatever goes into a nightmare
donc force a loiseau je pense que sunny qui revient dans le tombeau cest pour le denoncer,so force to the bird i think that sunny who returns to the tomb is to declare it
car en sois chaque creature ou personne qui a laisse sunny pour mort il la tue apres,because be every creature or person who left sunny for death he kills her after
ah et il encule la bete hivernal en sois on sy attendais mais ces dommage quon ne lai pas vu faire,ah and he fucks the winter bet be we waited for it but that damage we did not let do
oh ptn quentin qui solo un second cauchemar javoue il est chaud,oh ptn quentin who solo a second nightmare i confess it is hot
bon jai trop envie de gouter les pancake de sunny,well i am too excited to taste the sunny pancakes
jpensais que c'etait juste sainte etc,i thought it was just holy etc
mais les ombres ca compte aussi les ombres au sol,but shadows also count shadows on the ground
il a sacrifie ses ombres apres sa corruption,he sacrificed his shadows after his corruption
sa veut dire que il navait aucune transfo ce que je ne trouve pas logique,his means that he had no transfo what i do not find logical
mais enft si le prince fou na plus dombre il peut plus transfo car comme sunny la dit quand il a active sa transfo ses ombres ont disparu,but if the mad prince is born more shadow he can more transfo because as sunny says when he activated his transfo his shadows have disappeared
jsp j'ai l'impression que les transfo sont prevus des le debut quand tu choppes ton aspect vu comment les ombres de sunny avait deja des personnalites etc,jsp i have the impression that transfos are previewed from the beginning when you chop your look seeing how the sunny shadows already had personalites etc
a part si la personne etait deja sainte au moment de linfection car la transfo est deja defini,except if the person was already holy at the time of infection because the transfo is already defined
cest tres bas comme proba mais cest possible car une ame corrompu est differenterente dune ame normale donc la transfo peut etre differenterente,it is very low as proba but it is possible because a corrupt soul is differententente of a normal soul so the transfo can be differententente
et je pense ya moyen que il ai une transfo differenterente en corrompu que en normale,and i think there is a way that it has a different transfo corrupt than normal
alors moi jai pas lu apres le donc on a tjr pas vu les transfo des autre menvte de la cohorte,so i did not read after that so we did not see the transfos of the other menvt of the cohort
y'a pas de pouvoir speciaux qui vont avec la corruption non,there is no special power that goes with corruption no
c'est quoi le pouvoir du prince fou quand il est passe corrompu,what is the power of the mad prince when he is gone corrupt
mais il a pas les ombres,but he does not have the shadows
psq le prince fou a techniquement un clone de plus,psq the mad prince technically has one more clone
la question serait sainte fielon cauchemar sunny,the question would be holy fielon nightmare sunny
apres en soit ca fait un sunny de plus dans le combat,after that it is one more sunny in the fight
le simple gap de terreur a titan comble pas,the simple gap of terror has titan fill not
donc jpense que sunny a fond avec sainte fielon cauchemar gagne,so i think that sunny has melted with holy fielon nightmare wins
oui cest vrai quil avait tue sainte et les autres,yes it was true that he had killed holy and the others
en vrai meme si il lui restait de la lucidite il restait fou donc je pense ca se tape,even though he had some luciditis left he would stay crazy so i think it is all over
mais il avait plus ses ombres jcrois,but he had more of his shadows jcrois
le prince fou etait un titan sah,the mad prince was a titan sah
jlaisse couler un ptit peu le tome,a little bit of the volume
va lire catscream,will read catscream
par contre je me demande qui entre sunny saint corrompu et sunny saint est le plus puissant,on the other hand i wonder who between corrupt sunny saint and sunny saint is the most powerful
mais je pense qu'il gagne assez largement en se donnant a fond,but i think he is getting pretty well by giving himself a lot
jsuis pas a jour donc jsp,i am not up to date so jsp
je pense avec de la preparation contre a peu pres nimporte lequel ca se tape mais cest vrai quil lui faudrait plus ou moin de preparation selon le tyran,i am thinking about preparing for almost any kind of thing but it is true that he would need more or less preparation according to the tyrant
depend du tyran,depends on the tyrant
car enft la on sait pas vrm tout de sa puissance,because we do not know all about its power
vu que ya eu un time skip en sois letat ou sunny est restait le plus longtemps cest transcendant donc il est bien habitue a son pouvoir vous pensez sunny vs un tyran superieur il peu win,since there was a time skip be letat or sunny remained the longest transcendent that so it is well used to its power you think sunny vs a tyrant superieur it little win
